160 620
60 123 14
153 141 17
78 129 6
128 38 21
71 142 4
21 71 12
149 22 39
20 144 2
140 148 2
4 24 17
57 88 49
138 72 42
154 30 32
100 155 11
27 70 43
96 132 30
77 62 48
57 16 27
6 9 9
130 102 10
38 149 13
137 156 42
117 130 22
17 152 41
57 8 48
82 60 34
140 144 12
38 34 4
73 16 48
53 60 37
159 75 42
71 118 15
128 141 28
47 113 2
27 15 23
66 54 15
29 146 14
157 80 16
104 140 32
151 38 26
133 49 44
5 96 15
158 104 6
39 151 39
87 56 30
96 154 2
125 130 9
132 114 43
34 26 1
122 37 21
136 119 5
47 14 48
106 112 10
45 135 7
119 89 49
155 129 28
17 25 43
97 126 28
128 72 2
20 9 23
106 130 40
69 39 38
33 46 19
60 64 30
109 149 47
120 33 7
26 68 34
26 147 40
22 63 10
59 71 38
27 7 45
106 148 14
98 127 7
22 100 19
126 120 34
101 66 43
36 57 49
136 25 36
17 101 12
56 18 19
115 13 41
17 151 19
151 28 49
63 60 28
66 141 8
15 115 7
28 47 44
114 141 13
35 50 39
63 35 41
149 100 17
126 5 49
74 13 2
123 68 32
104 36 24
6 115 47
28 11 23
109 9 14
125 108 50
47 66 38
20 79 45
71 148 8
127 84 8
102 18 49
134 38 6
21 155 11
56 26 44
37 103 31
34 7 22
125 76 32
139 143 18
63 151 11
9 66 45
54 39 47
105 11 30
62 48 21
113 56 32
71 147 49
146 105 25
106 66 5
109 21 37
73 118 39
9 89 16
149 118 37
14 52 16
12 17 23
7 73 49
89 145 16
